	Vintage	Plant_part	Replicate	Geographic_Location	Cultivar_Terroir	Cultivar	Terroir_Unit
Fungi_D28K.23	Vintage_2023	Fruit	No.4	Nevrokopi	MeNe	Merlot	No.2
Fungi_D29K.23	Vintage_2023	Fruit	No.5	Nevrokopi	MeNe	Merlot	No.2
Fungi_D2K.23	Vintage_2023	Fruit	No.2	Adriani	MeAd	Merlot	No.6
Fungi_D30K.23	Vintage_2023	Fruit	No.6	Nevrokopi	MeNe	Merlot	No.2
Fungi_D31K.23	Vintage_2023	Fruit	No.7	Nevrokopi	MeNe	Merlot	No.2
Fungi_D32K.23	Vintage_2023	Fruit	No.8	Nevrokopi	MeNe	Merlot	No.2
Fungi_D33K.23	Vintage_2023	Fruit	No.1	Kali_Vrisi	MeKv	Merlot	No.4
Fungi_D34K.23	Vintage_2023	Fruit	No.2	Kali_Vrisi	MeKv	Merlot	No.4
Fungi_D35K.23	Vintage_2023	Fruit	No.3	Kali_Vrisi	MeKv	Merlot	No.4
Fungi_D36K.23	Vintage_2023	Fruit	No.4	Kali_Vrisi	MeKv	Merlot	No.4
Fungi_D37K.23	Vintage_2023	Fruit	No.5	Kali_Vrisi	MeKv	Merlot	No.4
Fungi_D38K.23	Vintage_2023	Fruit	No.6	Kali_Vrisi	MeKv	Merlot	No.4
Fungi_D39K.23	Vintage_2023	Fruit	No.7	Kali_Vrisi	MeKv	Merlot	No.4
Fungi_D3K.23	Vintage_2023	Fruit	No.3	Adriani	MeAd	Merlot	No.6
Fungi_D40K.23	Vintage_2023	Fruit	No.8	Kali_Vrisi	MeKv	Merlot	No.4
Fungi_D41K.23	Vintage_2023	Fruit	No.1	Mikrochori	CsMi	Cabernet_Sauvignon	No.6
Fungi_D42K.23	Vintage_2023	Fruit	No.2	Mikrochori	CsMi	Cabernet_Sauvignon	No.6
Fungi_D43K.23	Vintage_2023	Fruit	No.3	Mikrochori	CsMi	Cabernet_Sauvignon	No.6
Fungi_D44K.23	Vintage_2023	Fruit	No.4	Mikrochori	CsMi	Cabernet_Sauvignon	No.6
Fungi_D45K.23	Vintage_2023	Fruit	No.5	Mikrochori	CsMi	Cabernet_Sauvignon	No.6
Fungi_D46K.23	Vintage_2023	Fruit	No.6	Mikrochori	CsMi	Cabernet_Sauvignon	No.6
Fungi_D47K.23	Vintage_2023	Fruit	No.7	Mikrochori	CsMi	Cabernet_Sauvignon	No.6
Fungi_D48K.23	Vintage_2023	Fruit	No.8	Mikrochori	CsMi	Cabernet_Sauvignon	No.6
Fungi_D49K.23	Vintage_2023	Fruit	No.1	Agora	CsAg	Cabernet_Sauvignon	No.6
Fungi_D4K.23	Vintage_2023	Fruit	No.4	Adriani	MeAd	Merlot	No.6
Fungi_D50K.23	Vintage_2023	Fruit	No.2	Agora	CsAg	Cabernet_Sauvignon	No.6
Fungi_D51K.23	Vintage_2023	Fruit	No.3	Agora	CsAg	Cabernet_Sauvignon	No.6
